caption,videopath
a cow bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_cow_bending_down_to_drink_water_from_a_river.mp4
an elephant spraying itself with water using its t,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/an_elephant_spraying_itself_with_water_using_its_t.mp4
a person walking in the snowstorm,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_person_walking_in_the_snowstorm.mp4
a truck accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_truck_accelerating_to_gain_speed.mp4
a giraffe taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_giraffe_taking_a_peaceful_walk.mp4
a dog enjoying a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_dog_enjoying_a_peaceful_walk.mp4
a person swimming in ocean,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_person_swimming_in_ocean.mp4
a bus accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bus_accelerating_to_gain_speed.mp4
a bird building a nest from twigs and leaves,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bird_building_a_nest_from_twigs_and_leaves.mp4
a bear hunting for prey,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bear_hunting_for_prey.mp4
a person playing guitar,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_person_playing_guitar.mp4
a bicycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bicycle_gliding_through_a_snowy_field.mp4
a dog drinking water,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_dog_drinking_water.mp4
a cow chewing cud while resting in a tranquil barn,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_cow_chewing_cud_while_resting_in_a_tranquil_barn.mp4
a cat grooming itself meticulously with its tongue,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_cat_grooming_itself_meticulously_with_its_tongue.mp4
a car accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_car_accelerating_to_gain_speed.mp4
a horse running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_horse_running_to_join_a_herd_of_its_kind.mp4
a bear sniffing the air for scents of food,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bear_sniffing_the_air_for_scents_of_food.mp4
a motorcycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_motorcycle_slowing_down_to_stop.mp4
a bird flying over a snowy forest,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bird_flying_over_a_snowy_forest.mp4
a sheep bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_sheep_bending_down_to_drink_water_from_a_river.mp4
a boat slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_boat_slowing_down_to_stop.mp4
a cow running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_cow_running_to_join_a_herd_of_its_kind.mp4
a person drinking coffee in a cafe,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_person_drinking_coffee_in_a_cafe.mp4
a cat drinking water,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_cat_drinking_water.mp4
an airplane accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/an_airplane_accelerating_to_gain_speed.mp4
