,caption,videopath,score
0,a person playing guitar,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a person playing guitar.mp4,2.0
1,a car turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a car turning a corner.mp4,2.0
2,a train accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a train accelerating to gain speed.mp4,3.0
3,a cat playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a cat playing in park.mp4,3.0
4,an airplane soaring through a clear blue sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/an airplane soaring through a clear blue sky.mp4,5.0
5,a dog enjoying a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a dog enjoying a peaceful walk.mp4,3.0
6,a giraffe bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a giraffe bending down to drink water from a river.mp4,2.0
7,an elephant spraying itself with water using its trunk to cool down,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/an elephant spraying itself with water using its trunk to cool down.mp4,2.0
8,a bicycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a bicycle slowing down to stop.mp4,2.0
9,a truck turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a truck turning a corner.mp4,3.0
10,a sheep running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a sheep running to join a herd of its kind.mp4,3.0
11,a dog playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a dog playing in park.mp4,4.0
12,a bird soaring gracefully in the sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a bird soaring gracefully in the sky.mp4,5.0
13,a boat accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a boat accelerating to gain speed.mp4,2.0
14,a person drinking coffee in a cafe,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a person drinking coffee in a cafe.mp4,3.0
15,a truck accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a truck accelerating to gain speed.mp4,3.0
16,a person washing the dishes,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a person washing the dishes.mp4,3.0
17,a bear sniffing the air for scents of food,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a bear sniffing the air for scents of food.mp4,4.0
18,a car slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a car slowing down to stop.mp4,2.0
19,a boat slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a boat slowing down to stop.mp4,3.0
20,a train speeding down the tracks,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a train speeding down the tracks.mp4,3.0
21,a bus turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a bus turning a corner.mp4,2.0
22,a motorcycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a motorcycle gliding through a snowy field.mp4,5.0
23,a boat sailing smoothly on a calm lake,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a boat sailing smoothly on a calm lake.mp4,5.0
24,a person walking in the snowstorm,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho50.0_cfg5.0torch/a person walking in the snowstorm.mp4,3.0
